film_name,film_year,film_rate,link,poster
Interstellar,2014,4.44,https://letterboxd.com/film/interstellar/,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-70-0-105-crop.jpg?v=7ad89e6666
Parasite,2019,4.53,https://letterboxd.com/film/parasite-2019/,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-70-0-105-crop.jpg?v=8f5653f710
Barbie,2023,3.71,https://letterboxd.com/film/barbie/,https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-70-0-105-crop.jpg?v=1b83dc7a71
Fight Club,1999,4.27,https://letterboxd.com/film/fight-club/,https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-70-0-105-crop.jpg?v=768b32dfa4
La La Land,2016,4.12,https://letterboxd.com/film/la-la-land/,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-70-0-105-crop.jpg?v=053670ff84
Sinners,2025,4.10,https://letterboxd.com/film/sinners-2025/,https://a.ltrbxd.com/resized/film-poster/1/1/1/6/6/0/0/1116600-sinners-2025-0-70-0-105-crop.jpg?v=5996b7d555
Whiplash,2014,4.42,https://letterboxd.com/film/whiplash-2014/,https://a.ltrbxd.com/resized/sm/upload/cl/dn/kr/f1/4C9LHDxMsoYI0S3iMPZdm3Oevwo-0-70-0-105-crop.jpg?v=d13ea36528
Everything Everywhere All at Once,2022,4.25,https://letterboxd.com/film/everything-everywhere-all-at-once/,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-70-0-105-crop.jpg?v=281f1a041e
The Truman Show,1998,4.22,https://letterboxd.com/film/the-truman-show/,https://a.ltrbxd.com/resized/sm/upload/xx/io/jp/45/the-truman-show-0-70-0-105-crop.jpg?v=704ba393f7
Pulp Fiction,1994,4.24,https://letterboxd.com/film/pulp-fiction/,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-70-0-105-crop.jpg?v=dee19a8077
Oppenheimer,2023,4.17,https://letterboxd.com/film/oppenheimer-2023/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Dead Poets Society,1989,4.34,https://letterboxd.com/film/dead-poets-society/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
The Substance,2024,3.74,https://letterboxd.com/film/the-substance/,https://a.ltrbxd.com/resized/film-poster/8/3/8/1/4/0/838140-the-substance-0-70-0-105-crop.jpg?v=ab9e1072f8
Eternal Sunshine of the Spotless Mind,2004,4.24,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,https://a.ltrbxd.com/resized/sm/upload/ay/bp/kl/1y/uBfQ7IGpi0jXSP3GPCzp9Pzm10v-0-70-0-105-crop.jpg?v=116621c401
Get Out,2017,4.14,https://letterboxd.com/film/get-out-2017/,https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-70-0-105-crop.jpg?v=136acec030
Dune,2021,3.88,https://letterboxd.com/film/dune-2021/,https://a.ltrbxd.com/resized/sm/upload/nx/8b/vs/gc/cDbNAY0KM84cxXhmj8f0dLWza3t-0-70-0-105-crop.jpg?v=49eed12751
Spider-Man: Into the Spider-Verse,2018,4.40,https://letterboxd.com/film/spider-man-into-the-spider-verse/,https://a.ltrbxd.com/resized/film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-70-0-105-crop.jpg?v=538fe0ada6
Joker,2019,3.84,https://letterboxd.com/film/joker-2019/,https://a.ltrbxd.com/resized/film-poster/4/0/6/7/7/5/406775-joker-0-70-0-105-crop.jpg?v=e4ea7f98cc
The Dark Knight,2008,4.49,https://letterboxd.com/film/the-dark-knight/,https://a.ltrbxd.com/resized/sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-70-0-105-crop.jpg?v=2d0ce4be25
10 Things I Hate About You,1999,4.05,https://letterboxd.com/film/10-things-i-hate-about-you/,https://a.ltrbxd.com/resized/film-poster/4/9/0/4/7/49047-10-things-i-hate-about-you-0-70-0-105-crop.jpg?v=55ccac3542
Midsommar,2019,3.75,https://letterboxd.com/film/midsommar/,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-70-0-105-crop.jpg?v=ed7b8ded1f
Inception,2010,4.23,https://letterboxd.com/film/inception/,https://a.ltrbxd.com/resized/sm/upload/sv/95/s9/4j/inception-0-70-0-105-crop.jpg?v=30d7224316
The Batman,2022,4.02,https://letterboxd.com/film/the-batman/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Knives Out,2019,3.96,https://letterboxd.com/film/knives-out-2019/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
American Psycho,2000,3.78,https://letterboxd.com/film/american-psycho/,https://a.ltrbxd.com/resized/sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-70-0-105-crop.jpg?v=8126850315
The Wolf of Wall Street,2013,3.99,https://letterboxd.com/film/the-wolf-of-wall-street/,https://a.ltrbxd.com/resized/film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-70-0-105-crop.jpg?v=a2b958b6f1
Spirited Away,2001,4.44,https://letterboxd.com/film/spirited-away/,https://a.ltrbxd.com/resized/film-poster/5/1/9/2/1/51921-spirited-away-0-70-0-105-crop.jpg?v=a3ad463c55
Dune: Part Two,2024,4.38,https://letterboxd.com/film/dune-part-two/,https://a.ltrbxd.com/resized/film-poster/6/1/7/4/4/3/617443-dune-part-two-0-70-0-105-crop.jpg?v=cc533700f8
Superman,2025,3.84,https://letterboxd.com/film/superman-2025/,https://a.ltrbxd.com/resized/film-poster/9/5/7/0/5/0/957050-superman-2025-0-70-0-105-crop.jpg?v=54e41a55ff
Spider-Man: Across the Spider-Verse,2023,4.40,https://letterboxd.com/film/spider-man-across-the-spider-verse/,https://a.ltrbxd.com/resized/film-poster/4/9/7/6/3/1/497631-spider-man-across-the-spider-verse-0-70-0-105-crop.jpg?v=f2acbf1b8a
Se7en,1995,4.37,https://letterboxd.com/film/se7en/,https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-70-0-105-crop.jpg?v=76a14ef6b4
Black Swan,2010,4.17,https://letterboxd.com/film/black-swan/,https://a.ltrbxd.com/resized/sm/upload/yt/ae/iz/kj/bIjkE9Og0nulRycj144sCcQcsZ6-0-70-0-105-crop.jpg?v=a571e4c644
Forrest Gump,1994,4.17,https://letterboxd.com/film/forrest-gump/,https://a.ltrbxd.com/resized/film-poster/2/7/0/4/2704-forrest-gump-0-70-0-105-crop.jpg?v=173bc04cf0
Good Will Hunting,1997,4.37,https://letterboxd.com/film/good-will-hunting/,https://a.ltrbxd.com/resized/film-poster/5/1/6/2/1/51621-good-will-hunting-0-70-0-105-crop.jpg?v=acb4766abd
The Grand Budapest Hotel,2014,4.24,https://letterboxd.com/film/the-grand-budapest-hotel/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Inglourious Basterds,2009,4.36,https://letterboxd.com/film/inglourious-basterds/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Challengers,2024,3.84,https://letterboxd.com/film/challengers/,https://a.ltrbxd.com/resized/film-poster/8/4/2/3/0/1/842301-challengers-0-70-0-105-crop.jpg?v=a7cd63cbef
Saltburn,2023,3.37,https://letterboxd.com/film/saltburn/,https://a.ltrbxd.com/resized/film-poster/8/3/5/7/7/4/835774-saltburn-0-70-0-105-crop.jpg?v=b58cbd3b08
Kill Bill: Vol. 1,2003,4.21,https://letterboxd.com/film/kill-bill-vol-1/,https://a.ltrbxd.com/resized/sm/upload/sw/w2/ep/v4/9O50TVszkz0dcP5g6Ej33UhR7vw-0-70-0-105-crop.jpg?v=5a65f5202f
The Shining,1980,4.22,https://letterboxd.com/film/the-shining/,https://a.ltrbxd.com/resized/sm/upload/7s/m2/bw/d0/caoYMcjUamGoBVy65i1AHJBvdzw-0-70-0-105-crop.jpg?v=88d9d6cce4
Nosferatu,2024,3.67,https://letterboxd.com/film/nosferatu-2024/,https://a.ltrbxd.com/resized/film-poster/3/5/9/5/0/5/359505-nosferatu-2024-0-70-0-105-crop.jpg?v=a12d4ad648
The Perks of Being a Wallflower,2012,4.01,https://letterboxd.com/film/the-perks-of-being-a-wallflower/,https://a.ltrbxd.com/resized/film-poster/7/1/3/3/8/71338-the-perks-of-being-a-wallflower-0-70-0-105-crop.jpg?v=f2235860f7
Lady Bird,2017,3.83,https://letterboxd.com/film/lady-bird/,https://a.ltrbxd.com/resized/film-poster/3/2/6/2/7/9/326279-lady-bird-0-70-0-105-crop.jpg?v=754ff28eb4
The Silence of the Lambs,1991,4.34,https://letterboxd.com/film/the-silence-of-the-lambs/,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/2/51782-the-silence-of-the-lambs-0-70-0-105-crop.jpg?v=18d88bdff4
(500) Days of Summer,2009,3.66,https://letterboxd.com/film/500-days-of-summer/,https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-70-0-105-crop.jpg?v=05995ae0b3
Poor Things,2023,3.94,https://letterboxd.com/film/poor-things-2023/,https://a.ltrbxd.com/resized/film-poster/7/1/0/3/5/2/710352-poor-things-0-70-0-105-crop.jpg?v=a0f2ee9a0e
Little Women,2019,4.18,https://letterboxd.com/film/little-women-2019/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Call Me by Your Name,2017,3.85,https://letterboxd.com/film/call-me-by-your-name/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Weapons,2025,3.62,https://letterboxd.com/film/weapons-2025/,https://a.ltrbxd.com/resized/film-poster/9/7/2/1/0/9/972109-weapons-2025-0-70-0-105-crop.jpg?v=8100270337
Shutter Island,2010,4.17,https://letterboxd.com/film/shutter-island/,https://a.ltrbxd.com/resized/film-poster/4/5/4/0/9/45409-shutter-island-0-70-0-105-crop.jpg?v=85dd4c38e3
